TIME_UTC, LATENCY_AVG, NUM_MESSAGES
19:58:59, 112.73604287628406, 4478.0
19:59:00, 112.15687160940325, 4424.0
19:59:01, 113.91554439625656, 4381.0
19:59:02, 114.58231917336396, 4355.0
19:59:03, 114.16437414030261, 4362.0
19:59:04, 115.97815589790757, 4349.0
19:59:05, 114.01838819523269, 4405.0
19:59:06, 113.48236889692586, 4424.0
19:59:07, 113.76937142857143, 4375.0
19:59:08, 115.50517836593787, 4345.0
19:59:09, 114.30174216027875, 4305.0
19:59:10, 114.70224977043159, 4356.0
19:59:11, 114.07168458781362, 4464.0
19:59:12, 113.8089835610095, 4319.0
19:59:13, 114.60517946388005, 4402.0
19:59:14, 113.83915441176471, 4352.0
19:59:15, 116.72271249419414, 4306.0
19:59:16, 116.11968209443666, 4278.0
19:59:17, 113.7147266313933, 4536.0
